LISTADO ACIDENTES DONDE INTERVIENEN BICICLETAS MENSUAL;;;;ENERO  - MAYO 2017;;;

Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
20/03/2017 0:00;DE 15:00 A 15:59;1;RETIRO                        ;AVENIDA DE LA CIUDAD DE BARCELONA - CALLE DEL ALBERCHE                                              ;;ATROPELLO                               ;BICICLETA  
20/03/2017 0:00;DE 18:00 A 18:59;1;HORTALEZA                     ;AVENIDA DE LOS ANDES                                                                              ;46;COLISIÓN DOBLE                          ;BICICLETA  
20/03/2017 0:00;DE 21:00 A 21:59;1;CHAMBERI                      ;CALLE DE BRAVO MURILLO                                                                            ;80;ATROPELLO                               ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;VILLAVERDE                    ;PASEO DE LOS FERROVIARIOS                                                                         ;11;COLISIÓN DOBLE                          ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;PUENTE DE VALLECAS            ;BARRIO DE LA CELSA - CARRETERA DE VILLAVERDE A VALLECAS                                             ;;CAÍDA BICICLETA                         ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;SALAMANCA                     ;CALLE DE AYALA                                                                                    ;15;COLISIÓN DOBLE                          ;BICICLETA  
21/03/2017 0:00;DE 16:00 A 16:59;1;USERA                         ;CALLE DE DOLORES BARRANCO - CALLE DE LOS FERROVIARIOS                                               ;;COLISIÓN DOBLE                          ;BICICLETA  
22/03/2017 0:00;DE 12:00 A 12:59;1;ARGANZUELA                    ;CALLE DE BOLIVAR - CALLE DEL BRONCE                                                                 ;;COLISIÓN DOBLE                          ;BICICLETA  
23/03/2017 0:00;DE 9:00 A 9:59;1;PUENTE DE VALLECAS            ;CALLE DE MOHERNANDO - CALLE DE PIO FELIPE                                                           ;;COLISIÓN DOBLE                          ;BICICLETA  
23/03/2017 0:00;DE 21:00 A 21:59;1;ARGANZUELA                    ;PASEO DE SANTA MARIA DE LA CABEZA                                                                 ;23;CAÍDA BICICLETA                         ;BICICLETA  
24/03/2017 0:00;DE 21:00 A 21:59;1;CIUDAD LINEAL                 ;CALLE DE ALCALA                                                                                   ;413;COLISIÓN DOBLE                          ;BICICLETA  
