day,month,year,deaths
7,OCT,2016,85
8,OCT,2016,77
9,OCT,2016,76
10,OCT,2016,86
11,OCT,2016,77
12,OCT,2016,79
13,OCT,2016,70
14,OCT,2016,73
15,OCT,2016,78
16,OCT,2016,77
17,OCT,2016,75
19,OCT,2016,72
20,OCT,2016,79
21,OCT,2016,74
22,OCT,2016,101
23,OCT,2016,68
24,OCT,2016,69
25,OCT,2016,63
26,OCT,2016,71
27,OCT,2016,67
28,OCT,2016,73
29,OCT,2016,78
30,OCT,2016,79
31,OCT,2016,65
1,OCT,2017,104
2,OCT,2017,108
3,OCT,2017,121
4,OCT,2017,117
5,OCT,2017,112
6,OCT,2017,126
7,OCT,2017,106
8,OCT,2017,97
9,OCT,2017,90
10,OCT,2017,97
11,OCT,2017,98
12,OCT,2017,93
13,OCT,2017,98
14,OCT,2017,101
15,OCT,2017,94
16,OCT,2017,77
17,OCT,2017,86
19,OCT,2017,107
20,OCT,2017,87
21,OCT,2017,84
22,OCT,2017,102
23,OCT,2017,97
24,OCT,2017,98
25,OCT,2017,94
26,OCT,2017,96
27,OCT,2017,107
28,OCT,2017,100
29,OCT,2017,88
30,OCT,2017,95
31,OCT,2017,70
1,OCT,2018,0
2,OCT,2018,0
3,OCT,2018,0
4,OCT,2018,0
5,OCT,2018,0
6,OCT,2018,0
7,OCT,2018,0
8,OCT,2018,0
9,OCT,2018,0
10,OCT,2018,0
11,OCT,2018,0
12,OCT,2018,0
13,OCT,2018,0
14,OCT,2018,0
15,OCT,2018,0
16,OCT,2018,0
17,OCT,2018,0
19,OCT,2018,0
20,OCT,2018,0
21,OCT,2018,0
22,OCT,2018,0
23,OCT,2018,0
24,OCT,2018,0
25,OCT,2018,0
26,OCT,2018,0
27,OCT,2018,0
28,OCT,2018,0
29,OCT,2018,0
30,OCT,2018,0
31,OCT,2018,0
1,NOV,2015,77
2,NOV,2015,71
3,NOV,2015,83
4,NOV,2015,58
5,NOV,2015,66
6,NOV,2015,70
7,NOV,2015,62
8,NOV,2015,73
9,NOV,2015,73
10,NOV,2015,62
11,NOV,2015,74
12,NOV,2015,77
13,NOV,2015,77
14,NOV,2015,78
15,NOV,2015,77
16,NOV,2015,74
17,NOV,2015,81
18,NOV,2015,62
19,NOV,2015,79
21,NOV,2015,64
22,NOV,2015,91
23,NOV,2015,83
24,NOV,2015,81
25,NOV,2015,80
26,NOV,2015,70
27,NOV,2015,102
28,NOV,2015,85
29,NOV,2015,49
30,NOV,2015,99
1,NOV,2016,84
2,NOV,2016,72
3,NOV,2016,74
4,NOV,2016,97
5,NOV,2016,77
6,NOV,2016,97
7,NOV,2016,77
8,NOV,2016,77
9,NOV,2016,82
10,NOV,2016,73
11,NOV,2016,85
12,NOV,2016,79
13,NOV,2016,79
14,NOV,2016,90
15,NOV,2016,79
16,NOV,2016,76
17,NOV,2016,78
18,NOV,2016,84
19,NOV,2016,100
21,NOV,2016,91
22,NOV,2016,71
23,NOV,2016,87
24,NOV,2016,82
25,NOV,2016,66
26,NOV,2016,91
27,NOV,2016,87
28,NOV,2016,89
29,NOV,2016,90
30,NOV,2016,88
1,NOV,2017,82
2,NOV,2017,95
3,NOV,2017,72
4,NOV,2017,91
5,NOV,2017,83
6,NOV,2017,83
7,NOV,2017,88
8,NOV,2017,85
